index,conf_id,smiles,area,volume,P_bv,S_cat_bv,S_S_bv,S_cat_darea,S_cat_pint,S_S_darea,S_S_pint,S_cat_P,S_S_P,S_cat_Pangle,S_S_Pangle,S_cat_sarea,S_cat_svol,S_S_sarea,S_S_svol,S_toS_Lvalue,S_toS_B1value,S_toS_B5value,S_toC_Lvalue,S_toC_B1value,S_toC_B5value,P_charge,S_cat_charge,S_S_charge
5144,0,Cc1ccc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1,673.8468137,754.8090569,0.925864238,0.685321934,0.925864238,13.31132255,32.56926191,1.299819132,53.86726824,0.420329593,0.782475838,5.600164706,5.773011613,7.42997893,12.12883625,0,0,8.878921594,3.514746212,10.23920211,6.01982476,4.174584572,11.8258652,0.26871683,-0.06100018,0.02740937
5144,1,Cc1ccc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1,673.8469881,753.54707,0.92522363,0.676691204,0.92522363,13.91183334,32.39202584,0.899874784,53.41625591,0.465700291,0.781599699,5.956218131,5.765319075,8.329976378,13.6395212,0,0,8.889460202,3.472231401,10.22007245,6.016556128,4.181566515,11.66913065,0.26896234,-0.06298965,0.02609491
5144,2,Cc1ccc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1,670.4470317,751.1268606,0.92569535,0.676598025,0.92569535,14.1120036,32.40833186,1.099846958,53.39299685,0.463340131,0.782753125,5.904361476,5.77747323,8.259976576,13.52852332,0,0,8.888578541,3.44355086,10.22597023,6.02296021,4.164174545,11.63469719,0.27013884,-0.06165389,0.02588834
5144,3,Cc1ccc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1,644.6668093,750.0690614,0.930732855,0.690982575,0.930732855,13.11115228,32.17675779,0.69990261,56.49469458,0.239489126,0.78379324,3.902805783,5.774386033,9.819972153,17.50694641,0,0,7.685534317,2.409793684,10.94575107,6.007804811,4.061612906,8.764819584,0.26766374,-0.05572934,0.04496945
5144,4,Cc1ccc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1,634.8669822,749.1181696,0.930360138,0.652185054,0.930360138,13.91183334,30.53790226,1.099846958,56.87526409,0.089801056,0.776614316,1.845666997,5.710662284,13.87996064,26.34193029,0,0,8.091938941,1.846846248,11.06854461,6.012862395,4.004786676,8.969647221,0.27726375,-0.08378124,0.04713557
4280,0,Cc1ccccc1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,667.9420633,750.9618035,0.925485697,0.674769381,0.925485697,14.01191847,32.49886515,1.299819132,53.87913397,0.480116634,0.782040883,6.006145049,5.7704626,8.549975754,13.81622712,0,0,8.894641403,3.773865511,10.22720421,6.021735515,4.172196807,10.53763145,0.27077929,-0.06549902,0.02373006
4280,1,Cc1ccccc1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,665.6434255,748.7253225,0.925724469,0.675520639,0.925724469,13.81174821,32.46423384,0.999860871,53.02449534,0.480475344,0.781583973,6.02153336,5.765925797,8.359976293,13.34435605,0,0,8.894255071,3.796926064,10.22682731,6.019425479,4.177521911,10.55084031,0.2702082,-0.06564994,0.02343833
4280,2,Cc1ccccc1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,664.2403536,749.3882899,0.925934122,0.692642331,0.925934122,12.41055636,32.98944573,1.299819132,54.15597309,0.449515091,0.78309844,5.814627192,5.780292055,6.669981085,10.90537017,0,0,8.879379373,3.730087796,10.23266472,6.018009814,4.174826059,10.76253928,0.2673786,-0.05222319,0.01926743
4280,3,Cc1ccccc1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,669.1418841,750.7479631,0.925043095,0.668031355,0.925043095,14.51234413,32.38764742,0.899874784,53.12760763,0.512961951,0.781808612,6.254970106,5.768046978,9.49997306,15.37859006,0,0,8.891937815,3.714532131,10.19658343,6.018899167,4.182909434,10.38562321,0.2709535,-0.06654263,0.02251842
4280,4,Cc1ccccc1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,639.0592597,748.4278783,0.928601379,0.699106644,0.928601379,11.9101307,33.67233361,0.799888697,52.91216505,0.05092231,0.750453104,1.622314855,5.450970739,7.019980093,12.47254127,0,0,8.277700911,3.021197456,10.91914374,5.95553642,3.989737726,8.791731674,0.27160254,-0.04824693,0.04062587
5157,0,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccccc1C(F)(F)F)N(C)C(C)(C)C,686.224452,764.8796953,0.92542746,0.671589638,0.614249441,14.51234413,32.43100389,6.794697485,32.30574537,0.420292114,0.011260062,5.65609654,0.075582085,9.509973032,15.77685483,6.420150006,7.484462271,8.871990029,3.632344438,10.2165279,5.638276285,3.528135124,12.92631718,0.27492111,-0.06724883,0.03940824
5157,1,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccccc1C(F)(F)F)N(C)C(C)(C)C,661.9344508,762.0107977,0.927704529,0.671048034,0.638470229,14.61242926,32.94481066,6.594853442,33.45413009,0.150586876,0.011835633,3.419846967,0.079435808,8.729975244,14.42778644,5.620131313,7.510101755,8.650485034,3.118768575,10.6801821,6.900236365,2.042867154,11.30994046,0.27881951,-0.06043916,0.04390984
5157,2,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccccc1C(F)(F)F)N(C)C(C)(C)C,683.0275778,765.1772557,0.940138138,0.636583349,0.616543981,15.81345085,30.63473269,6.295087376,31.73676941,0.287351836,0.008795202,4.581523407,0.059067671,12.81996365,23.22441722,6.170144164,7.955728269,8.752891238,2.60481003,11.10276748,5.834416216,2.553804031,13.31633004,0.27551818,-0.04964931,0.03973919
5157,3,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccccc1C(F)(F)F)N(C)C(C)(C)C,682.1263729,763.3539555,0.924035594,0.67160711,0.616934169,14.21208874,32.26801881,6.594853442,32.2334071,0.51409929,0.017402219,6.323925958,0.116815101,8.849974903,14.14927243,6.65015538,7.551321108,8.880570102,3.923076999,10.28185364,6.043948353,4.197740557,12.69535721,0.2730913,-0.05984039,0.03385917
5157,4,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccccc1C(F)(F)F)N(C)C(C)(C)C,683.4258048,763.3985655,0.92412295,0.668415719,0.61726612,14.412259,32.15131676,6.594853442,32.67480304,0.549257784,0.017525569,6.553018146,0.117657615,9.31997357,15.04985305,6.700156548,7.674137574,8.876708331,3.717556707,10.37674136,6.152221603,4.36336513,12.48038183,0.27354344,-0.05900246,0.03381895
5166,0,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccc(C(F)(F)F)cc1)N(C)C(C)(C)C,660.6358997,758.2257455,0.927727823,0.703293887,0.712571049,11.50979017,33.50427749,5.195945136,35.70563336,0.050428124,0.066502897,1.692992575,0.446395044,5.589984148,10.2720283,4.350101639,8.658708185,8.499264161,2.765183278,10.8815987,7.653049529,1.957820895,10.98931901,0.27581164,-0.04372868,0.04940672
5166,1,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccc(C(F)(F)F)cc1)N(C)C(C)(C)C,682.3260269,763.8640534,0.925054743,0.678752795,0.618296916,13.91183334,32.42637376,6.295087376,32.13220328,0.44000709,0.02593297,5.783851138,0.174053139,8.129976945,13.28588054,6.550153043,7.747547798,8.88087174,3.556352497,10.59522434,5.623261747,4.009293594,12.93694358,0.27325164,-0.06360944,0.03742818
5166,2,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccc(C(F)(F)F)cc1)N(C)C(C)(C)C,685.5242468,765.3400945,0.923750233,0.665026323,0.614622158,15.01276979,32.14834005,6.794697485,32.47463436,0.53993462,0.010875254,6.499696054,0.072998478,9.949971784,16.27265884,6.710156782,7.588407807,8.876745019,3.359567625,10.40456703,5.898612821,4.239573952,12.54245506,0.2737908,-0.06238039,0.03351021
5166,3,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccc(C(F)(F)F)cc1)N(C)C(C)(C)C,680.0275549,761.839634,0.923930768,0.664379892,0.61481434,15.31302519,32.27314259,6.49493142,32.18901385,0.545466187,0.011864704,6.525544782,0.079641864,10.06997144,16.51718,6.76015795,7.668677011,8.876203191,3.309521171,10.41007805,5.910437341,4.216248849,12.45869636,0.27411075,-0.0621439,0.03377666
5166,4,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccc(C(F)(F)F)cc1)N(C)C(C)(C)C,681.2271967,760.420384,0.924821795,0.679038157,0.618483274,14.01191847,32.60751915,6.49493142,32.20560453,0.441539644,0.026368195,5.799863377,0.176970023,8.0399772,13.06931267,6.470151174,7.649379731,8.881577483,3.561146477,10.59710825,5.647318773,4.010936074,12.94986608,0.27285833,-0.06370016,0.0373062
