index,conf_id,smiles,area,volume,S_bv,S_darea,S_pint,S_P,S_Pangle,S_sarea,S_svol,S_toC1_Lvalue,S_toC1_B1value,S_toC1_B5value,S_toC2_Lvalue,S_toC2_B1value,S_toC2_B5value,S_charge
5176,4,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccc2ccccc2c1,529.1358943,559.1761165,0.676493198,5.695555245,33.24260841,0.011672001,0.078448737,3.240075704,3.679272571,9.122652925,3.244035198,11.05784984,8.955976879,3.26662822,7.060474389,0.07738255
5167,0,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc(F)c1,479.0495492,505.2495478,0.674914974,5.595633223,32.64602232,0.01281923,0.086003321,3.430080143,4.024922595,9.121677269,3.23794138,9.173822529,6.809310331,3.043286838,7.073578395,0.08350543
5167,1,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc(F)c1,483.6472295,505.897081,0.675357575,5.995321311,32.99996264,0.014222306,0.095412437,3.34007804,3.962597565,9.124538543,3.237068311,9.181044348,6.809392679,3.022547073,7.116199263,0.08357963
5167,2,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc(F)c1,480.4474039,503.916997,0.675293515,5.595633223,32.68345513,0.014095377,0.094561879,3.360078508,3.952053585,9.124388805,3.237712817,9.180925782,6.809392794,3.022412536,7.116654887,0.08358838
5167,3,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc(F)c1,481.2493781,506.5358142,0.675002329,5.695555245,32.68587325,0.013730531,0.092114442,3.380078975,4.017100433,9.123766911,3.237145956,9.178980656,6.809355873,3.027349237,7.104868382,0.08354825
5167,4,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc(F)c1,481.4476598,506.026902,0.675607995,5.995321311,33.25567209,0.015345198,0.10292962,3.360078508,3.95303798,9.122956632,3.239392613,9.184668377,6.807807702,3.037879966,7.081167587,0.08224847
5186,0,Cc1cccc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c1,500.5573947,526.4144364,0.675934122,5.595633223,32.91717995,0.011250338,0.075631024,3.310077339,3.839703786,9.122461066,3.245557572,9.565566503,6.78206429,3.047672939,7.06686839,0.08141368
5186,1,Cc1cccc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c1,500.6583721,525.8334273,0.675596347,5.995321311,33.08731203,0.010320887,0.069384441,3.290076872,3.743507323,9.120252113,3.245884549,9.571929344,6.781989076,3.066067573,7.031496431,0.08137935
5186,2,Cc1cccc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c1,502.5550669,526.9258983,0.675986536,5.795477267,33.00852255,0.013246094,0.089028359,3.290076872,3.86364466,9.122814892,3.244240539,9.156519967,6.78289351,3.344775416,7.077082292,0.08020527
5186,3,Cc1cccc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c1,501.5553961,525.5612903,0.675835119,5.895399289,33.07102327,0.011240279,0.075562866,3.280076638,3.807462507,9.122562891,3.24552816,9.565444294,6.782049883,3.047795807,7.066295292,0.08141662
5186,4,Cc1cccc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c1,500.8573439,527.9508184,0.675718645,5.795477267,33.2026093,0.010091003,0.067839498,3.300077106,3.803463922,9.120328239,3.245888982,9.575153324,6.781973113,3.064201979,7.033925358,0.08139636
5168,0,Cc1cc(C)cc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c1,525.657801,550.7026171,0.676068067,6.195165354,33.4708619,0.009536899,0.064149213,3.300077106,3.800440064,9.118792203,3.247946335,9.584311839,6.772538055,3.329444118,7.011414929,0.07995926
5168,1,Cc1cc(C)cc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c1,526.2568597,551.0022387,0.67594577,5.895399289,33.34472632,0.007591645,0.051067659,3.310077339,3.751743633,9.115679364,3.248464392,9.599999875,6.772387877,3.345551603,6.951868372,0.07982381
5168,2,Cc1cc(C)cc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c1,526.7588342,550.6854999,0.676335958,5.595633223,33.24598979,0.010799021,0.072634105,3.210075003,3.706413851,9.122293624,3.24781972,9.571520111,6.772587798,3.313335089,7.060010816,0.08004913
5168,3,Cc1cc(C)cc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c1,523.4604271,548.2813643,0.67616707,5.695555245,33.19773693,0.011100972,0.074666767,3.200074769,3.73626756,9.121700369,3.248984863,9.569988138,6.772623692,3.312543936,7.063406999,0.08007202
5168,4,Cc1cc(C)cc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c1,525.7594039,552.0716585,0.675974888,5.895399289,33.35615149,0.007906991,0.053188847,3.380078975,3.833805333,9.116063611,3.248384522,9.596593432,6.772424158,3.341270072,6.962485509,0.07986177
5172,0,COc1cc(C)c(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c(C)c1,543.7636304,580.986624,0.735347559,4.996101092,36.22058001,0.072360354,0.487724139,1.550036216,1.705146591,9.133831023,3.251879798,10.91140429,8.834805516,3.284619316,6.634823826,0.06987773
5172,1,COc1cc(C)c(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c(C)c1,544.3631373,580.2880225,0.735236908,4.596413005,35.99173918,0.072347269,0.487648164,1.510035282,1.639996059,9.132117955,3.254167254,10.90936961,8.834723239,3.287017132,6.632292698,0.06990075
5172,2,COc1cc(C)c(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c(C)c1,545.6632267,580.0282133,0.735743571,4.89617907,36.43606163,0.072693016,0.489963421,1.470034347,1.608382562,9.137303552,3.251349786,10.91070968,8.834937102,3.279215928,6.623226322,0.06999872
