index,smiles
94,CC(C)[C@@H](c1ccccc1)N(C(C)C)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
95,C[C@@H](c1ccc2ccccc2c1)N([C@@H](C)c1ccc2ccccc2c1)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
96,CC(C)N([C@H](C)c1ccccc1)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
97,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(C)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
98,CC(C)N([C@H](c1ccccc1)C(F)(F)F)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
99,CC(C)N(C(C)(C)c1ccccc1)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
100,CC(C)N(C(c1ccccc1)c1ccccc1)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
101,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N1CCCCCC1
102,CCC(C)N(C(C)CC)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
103,COc1ccc([C@H](C)N([C@@H](C)c2ccc(OC)cc2)P2(=[S+]Sc3ccccc3)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1
104,C[C@H](c1cccc2ccccc12)N([C@@H](C)c1cccc2ccccc12)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
105,Cc1ccccc1[C@H](C)N([C@@H](C)c1ccccc1)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
106,C[C@@H](c1ccc(F)cc1)N([C@@H](C)c1ccc(F)cc1)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
107,Cc1ccc([C@H](C)N([C@@H](C)c2ccc(C)cc2)P2(=[S+]Sc3ccccc3)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1
108,CCC(CC)N(C(CC)CC)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
109,CC(C)N(C(C)(C)C)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
110,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N1CCCCC1
111,COc1ccc([C@@H](C)N([C@H](C)c2ccc(OC)cc2)P2(=[S+]Sc3ccccc3)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1
112,C[C@H](c1cccc2ccccc12)N([C@H](C)c1cccc2ccccc12)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
113,CCN([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
114,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(Cc1ccccc1)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
115,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(c1ccccc1)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
116,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)=[S+]Sc1ccccc1
117,CC(C)N(C)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
118,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(C)C(C)(C)C
119,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(C)C(C)(C)c1ccccc1
120,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(C)C1C2C[C@H]3C[C@@H](C2)C[C@@H]1C3
121,CN(C)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
122,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccc(F)cc1)N(C)C(C)(C)C
123,COc1ccc(S[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1
124,Cc1ccc(S[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1
125,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccc(C(F)(F)F)cc1)N(C)C(C)(C)C
126,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccc2ccccc2c1)N(C)C(C)(C)C
127,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1cccc(F)c1)N(C)C(C)(C)C
128,COc1cccc(S[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1
129,Cc1cccc(S[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1
130,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SCc1ccccc1)N(C)C(C)(C)C
131,CC(C)c1ccccc1S[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
132,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1F)N(C)C(C)(C)C
133,COc1ccccc1S[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
134,Cc1ccccc1S[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
135,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1C(F)(F)F)N(C)C(C)(C)C
136,CC(C)c1cccc(C(C)C)c1S[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
137,Cc1cccc(C)c1S[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
138,Cc1cc(C)c(S[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C)c1
139,COc1cc(C)c(S[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C)c1
140,CC(C)c1cc(C(C)C)c(S[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1
141,COc1cc(C(C)C)c(S[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1
142,CC(C)N(C(C)C)P1(=[S+]Sc2ccccc2)N(C)c2ccc3c(c2-c2c(ccc4c2CCCC4)N1C)CCCC3
143,CC(C)N(C(C)C)P1(=[S+]Sc2ccccc2)Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1
144,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N1CCCc2ccccc21
145,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N1c2ccccc2CCc2ccccc21
146,CC(C)N([C@H]1CCc2ccccc21)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
